|index|location_code|year|chl_median|chl_max|grid_pop|grid_senile_pop|total_pop|senile_pop|avg_age|AD|grid_AD|MD|grid_MD|PD|grid_PD
0|1001A10|42770|2005|2.6|7.9|89.0|55.0|44203|16479.5|39.49295916|13|0.026174694|2.0|0.004026876|35.0|0.0704703301
1|1001A10|42770|2006|5.2|13.5|87.197044335|56.001642036|43186|16810.5|40.25569313|8|0.0161528355|3.0|0.0060573133|33.0|0.0666304465
2|1001A10|42770|2007|2.25|11.0|85.399014778|57.000547345|41806|17118.0|40.99099873|12|0.024512945|2.0|0.0040854908|38.0|0.0776243257
3|1001A10|42770|2008|3.5|18.9|83.600985222|57.999452655|41269|17478.5|41.65762642|7|0.0141803023|1.0|0.0020257575|45.0|0.0911590864
4|1001A10|42770|2009|2.65|11.7|81.802955665|58.998357964|40708|17979.0|42.28574914|11|0.0221045621|0.0|0.0|58.0|0.1165513272
5|1001A10|42770|2010|4.0|12.0|80.0|60.0|41045|18542.0|42.93888965|18|0.035083445|3.0|0.0058472408|54.0|0.105250335
6|1001A10|42770|2011|3.25|8.7|78.600766703|59.200438116|40181|19077.5|43.63659031|20|0.0391233502|1.0|0.0019561675|70.0|0.1369317257
7|1001A10|42770|2012|3.5|6.7|77.201533406|58.400876232|39915|19570.0|44.2803514|23|0.0444854132|3.0|0.0058024452|81.0|0.1566660204
8|1001A10|42770|2013|4.0|9.5|75.80230011|57.601314348|39985|20173.0|44.85552825|23|0.0436026736|2.0|0.0037915368|86.0|0.1630360838
9|1001A10|42770|2014|3.9|7.6|74.399233297|56.799561884|39425|20787.0|45.5538416|20|0.0377421602|7.0|0.0132097561|88.0|0.1660655049
10|1001A10|42770|2015|3.75|5.6|73.0|56.0|39197|21334.5|46.26861208|33|0.0614587851|6.0|0.0111743246|88.0|0.1638900936
11|1001A10|42770|2016|4.5|17.3|76.0|63.0|38718|21837.5|46.94466025|39|0.076553541|6.0|0.0117774678|97.0|0.1904023968
12|1001A10|42770|2017|3.6|15.5|75.0|63.0|38173|20467.0|48.36816598|38|0.0746601001|3.0|0.0058942184|105.0|0.2062976449
13|1001A25|42770|2005|3.0|6.8|636.0|283.0|44203|16479.5|39.49295916|13|0.1870461281|2.0|0.0287763274|35.0|0.5035857295
14|1001A25|42770|2006|2.2|5.4|618.37110016|288.6091954|43186|16810.5|40.25569313|8|0.1145502895|3.0|0.0429563586|33.0|0.4725199441
15|1001A25|42770|2007|1.5|12.9|600.79036672|294.20306513|41806|17118.0|40.99099873|12|0.1724509496|2.0|0.0287418249|38.0|0.5460946739
